symbol,company_name,sector,index
IDA,Idacorp,Utilities,RUSSELL1000
IEX,IDEX Corporation,Industrials,RUSSELL1000
IDXX,Idexx Laboratories,Health Care,RUSSELL1000
ITW,Illinois Tool Works,Industrials,RUSSELL1000
ILMN,"Illumina, Inc.",Health Care,RUSSELL1000
INCY,Incyte,Health Care,RUSSELL1000
INFA,Informatica,Information Technology,RUSSELL1000
IR,Ingersoll Rand,Industrials,RUSSELL1000
INGM,Ingram Micro,Information Technology,RUSSELL1000
INGR,Ingredion,Consumer Staples,RUSSELL1000
INSP,Inspire Medical Systems,Health Care,RUSSELL1000
PODD,Insulet,Health Care,RUSSELL1000
INTC,Intel,Information Technology,RUSSELL1000
IBKR,Interactive Brokers,Financials,RUSSELL1000
ICE,Intercontinental Exchange,Financials,RUSSELL1000
IFF,International Flavors & Fragrances,Materials,RUSSELL1000
IP,International Paper,Materials,RUSSELL1000
IPG,Interpublic Group of Companies (The),Communication Services,RUSSELL1000
INTU,Intuit,Information Technology,RUSSELL1000
ISRG,Intuitive Surgical,Health Care,RUSSELL1000
IVZ,Invesco,Financials,RUSSELL1000
INVH,Invitation Homes,Real Estate,RUSSELL1000
IONS,Ionis Pharmaceuticals,Health Care,RUSSELL1000
IPGP,IPG Photonics,Information Technology,RUSSELL1000
IQV,IQVIA,Health Care,RUSSELL1000
IRDM,Iridium Communications,Communication Services,RUSSELL1000
IRM,Iron Mountain,Real Estate,RUSSELL1000
ITT,ITT Inc.,Industrials,RUSSELL1000
JBL,Jabil,Information Technology,RUSSELL1000
J,Jacobs Solutions,Industrials,RUSSELL1000
JHG,Janus Henderson,Financials,RUSSELL1000
JAZZ,Jazz Pharmaceuticals,Health Care,RUSSELL1000
JBHT,J. B. Hunt,Industrials,RUSSELL1000
JEF,Jefferies Financial Group,Financials,RUSSELL1000
JNJ,Johnson & Johnson,Health Care,RUSSELL1000
JCI,Johnson Controls,Industrials,RUSSELL1000
JLL,Jones Lang LaSalle,Real Estate,RUSSELL1000
JPM,JPMorgan Chase,Financials,RUSSELL1000
JNPR,Juniper Networks,Information Technology,RUSSELL1000
KBR,"KBR, Inc.",Industrials,RUSSELL1000
K,Kellanova,Consumer Staples,RUSSELL1000
KMPR,Kemper Corporation,Financials,RUSSELL1000
KVUE,Kenvue,Consumer Staples,RUSSELL1000
KDP,Keurig Dr Pepper,Consumer Staples,RUSSELL1000
KEY,Keycorp,Financials,RUSSELL1000
KEYS,Keysight,Information Technology,RUSSELL1000
KRC,Kilroy Realty,Real Estate,RUSSELL1000
KMB,Kimberly-Clark,Consumer Staples,RUSSELL1000
KIM,Kimco Realty,Real Estate,RUSSELL1000
KMI,Kinder Morgan,Energy,RUSSELL1000
